,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021
0,8hr Arthritis Pain,Acetaminophen,1,Overall,0.0,,,,,,0.0,,,,,,733.42,"$11,256.00",140,$0.07,$5.24,1.0,426.96,"4,459",46,$0.10,$9.28,1.0,331.69,"4,642",54,$0.07,$6.14,1
1,8hr Arthritis Pain,Acetaminophen,1,Topco,0.0,,,,,,0.0,,,,,,733.42,"$11,256.00",140,$0.07,$5.24,1.0,426.96,"4,459",46,$0.10,$9.28,1.0,331.69,"4,642",54,$0.07,$6.14,1
2,A & D,Vitamins A And D,1,Overall,0.0,,,,,,252.22,"36,845",84,$0.01,$3.00,1.0,770.31,"$51,334.45",121,$0.02,$6.37,1.0,322.51,"15,751.8",41,$0.02,$7.87,1.0,253.76,"9,136",26,$0.03,$9.76,1
3,A & D,Vitamins A And D,1,Schering-Plough,0.0,,,,,,252.22,"36,845",84,$0.01,$3.00,1.0,770.31,"$51,334.45",121,$0.02,$6.37,1.0,322.51,"15,751.8",41,$0.02,$7.87,1.0,253.76,"9,136",26,$0.03,$9.76,1
4,A And D,Vits A And D/White Pet/Lanolin,1,Overall,406.33,"3,502.5",47,$0.12,$8.65,1.0,213.7,"2,113.7",28,$0.10,$7.63,1.0,79.36,"$1,102.00",17,$0.07,$4.67,1.0,138.49,"1,483.5",19,$0.09,$7.29,1.0,106.45,"1,032.708",14,$0.10,$7.60,1
5,A And D,Vits A And D/White Pet/Lanolin,1,Bayer Healthcar,406.33,"3,502.5",47,$0.12,$8.65,1.0,213.7,"2,113.7",28,$0.10,$7.63,1.0,79.36,"$1,102.00",17,$0.07,$4.67,1.0,138.49,"1,483.5",19,$0.09,$7.29,1.0,106.45,"1,032.708",14,$0.10,$7.60,1
6,A And D Diaper Rash,"Dimethic/Zinc Ox/Vits A,D/Aloe",1,Overall,0.0,,,,,,0.0,,,,,,90.59,"$1,221.43",15,$0.07,$6.04,1.0,204.19,"1,675.5",27,$0.12,$7.56,1.0,67.04,905,21,$0.07,$3.19,1
7,A And D Diaper Rash,"Dimethic/Zinc Ox/Vits A,D/Aloe",1,Bayer Healthcar,0.0,,,,,,0.0,,,,,,90.59,"$1,221.43",15,$0.07,$6.04,1.0,204.19,"1,675.5",27,$0.12,$7.56,1.0,67.04,905,21,$0.07,$3.19,1
8,A-Hydrocort,Hydrocortisone Sod Succinate,1,Overall,22317.83,108,67,$206.65,$333.10,1.0,20447.75,65,61,$314.58,$335.21,1.0,2123.39,$36.00,34,$58.98,$62.45,1.0,32241.56,102,80,$316.09,$403.02,1.0,300.44,52,47,$5.78,$6.39,1
9,A-Hydrocort,Hydrocortisone Sod Succinate,1,Hospira/Pfizer,22317.83,108,67,$206.65,$333.10,1.0,20447.75,65,61,$314.58,$335.21,1.0,2123.39,$36.00,34,$58.98,$62.45,1.0,32241.56,102,80,$316.09,$403.02,1.0,300.44,52,47,$5.78,$6.39,1
10,A-Methapred,Methylprednisolone Sod Succ,1,Overall,53847.58,993.28,453,$109.05,$118.87,1.0,298521.69,325,222,$631.85,"$1,344.69",1.0,362579.91,$285.13,187,"$1,604.32","$1,938.93",1.0,11201.99,140,116,$75.13,$96.57,1.0,11964.04,48,44,$248.66,$271.91,1
11,A-Methapred,Methylprednisolone Sod Succ,1,Hospira,53847.58,993.28,453,$109.05,$118.87,1.0,298521.69,325,222,$631.85,"$1,344.69",1.0,362579.91,$285.13,187,"$1,604.32","$1,938.93",1.0,11201.99,140,116,$75.13,$96.57,1.0,11964.04,48,44,$248.66,$271.91,1
12,Abacavir,Abacavir Sulfate,6,Overall,4855932.38,"1,454,929","22,799",$3.63,$212.99,0.0,3000495.65,"1,870,113","20,097",$2.30,$149.30,0.0,2446359.81,"$1,621,617.00","15,983",$2.28,$153.06,0.0,1721889.97,"1,364,799.294","12,949",$1.87,$132.97,0.0,1404972.5,"1,239,824","10,708",$1.76,$131.21,0
13,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",0.0,,,,,,43062.43,"20,833",352,$2.07,$122.34,0.0,178710.77,"$80,803.00","1,383",$2.21,$129.22,0.0,133369.15,"77,992","1,364",$1.71,$97.78,0.0,108419.38,"66,025","1,150",$1.64,$94.28,0
14,Abacavir,Abacavir Sulfate,1,Mylan,463808.23,"123,150","2,204",$3.77,$210.44,0.0,299723.28,"132,594","2,341",$2.26,$128.03,0.0,439768.24,"$172,968.00","3,030",$2.54,$145.14,0.0,265658.01,"123,098","2,067",$2.16,$128.52,0.0,180238.65,"90,362","1,489",$1.99,$121.05,0
